"title","rental_rate"
"Wasteland Divine","2.99"
"Watch Tracy","0.99"
"Waterfront Deliverance","4.99"
"Watership Frontier","0.99"
"Wedding Apollo","0.99"
"Weekend Personal","2.99"
"Werewolf Lola","4.99"
"West Lion","4.99"
"Westward Seabiscuit","0.99"
"Whale Bikini","4.99"
"Whisperer Giant","4.99"
"Wife Turn","4.99"
"Wild Apollo","0.99"
"Willow Tracy","2.99"
"Wind Phantom","0.99"
"Window Side","2.99"
"Wisdom Worker","0.99"
"Witches Panic","4.99"
"Wizard Coldblooded","4.99"
"Wolves Desire","0.99"
"Women Dorado","0.99"
"Won Dares","2.99"
"Wonderful Drop","2.99"
"Wonderland Christmas","4.99"
"Wonka Sea","2.99"
"Words Hunter","2.99"
"Worker Tarzan","2.99"
"Working Microcosmos","4.99"
"World Leathernecks","0.99"
"Worst Banger","2.99"
"Wrath Mile","0.99"
"Wrong Behavior","2.99"
"Wyoming Storm","4.99"
"Yentl Idaho","4.99"
"Young Language","0.99"
"Youth Kick","0.99"
"Zhivago Core","0.99"
"Zoolander Fiction","2.99"
"Zorro Ark","4.99"
